model,in_screen20,n_boot_fail,b_logp,b_logp_ci_lo,b_logp_ci_hi,b_review,b_review_ci_lo,b_review_ci_hi,wtp,wtp_ci_lo,wtp_ci_hi,rank_absb_point,rank_absb_ci_lo,rank_absb_ci_hi,rank_wtp_point,rank_wtp_ci_lo,rank_wtp_ci_hi
Gemma3 4B,True,0,-1.3264843269719189,-1.547751037401365,-1.1102237440923362,1.7886033208502872,1.5563842591451005,2.063777735187532,337.09469544455294,290.82479230350697,395.942604217366,14.0,13.0,14.0,9.0,8.0,10.0
DeepSeek-R1 1.5B,False,0,-0.9627968536206268,-1.1184227725765135,-0.8258360140790713,0.0171850070461168,-0.08912145963911514,0.11723327574391297,4.462261945885069,-22.804086881451195,29.009117259905068,15.0,15.0,16.524999999999977,,,
Llama3.2 3B,True,0,-0.923749481793792,-1.144395400024359,-0.7067604687778564,1.9381461513713223,1.71132753257987,2.214411149510576,524.5324055846056,428.43874595264657,656.463828261208,16.0,15.0,17.0,3.0,2.0,6.0
Phi-4 Mini,True,0,-0.7608746748516788,-1.0388313945976482,-0.49638560992220154,3.2607400441427807,2.8775845292246602,3.8050308482931086,1071.3788196388628,818.6626191347065,1574.1805088429362,17.0,15.0,19.0,1.0,1.0,1.0
DeepSeek-R1 7B,True,0,-0.6686072666804166,-0.8259091981397205,-0.5149604407783627,0.90967106206892,0.777739961941272,1.0804289291250933,340.13654480056977,283.69650666945574,438.35384323778175,18.0,17.0,19.0,8.0,6.0,9.0
Qwen3 8B,True,0,-0.5510289906799104,-0.6667595930337136,-0.44184146797977014,0.5798672857783981,0.4908555091086338,0.6878247881759911,263.0838375050396,220.1258178155088,321.1755379804964,19.0,18.0,20.0,11.0,10.0,12.0
Phi-3 Mini,True,0,-0.4727385961965546,-0.6140063617534001,-0.32287754745922015,1.220920631987166,1.0811735898978827,1.378016537464291,645.6637144767492,501.0361992471295,926.370786352248,20.0,19.0,21.0,2.0,2.0,4.0
Qwen3 30B-A3B,True,0,-0.4026591376646635,-0.49995710741659066,-0.29865542183774846,0.8225245607167874,0.7257380030821918,0.9322038629927341,510.682910045984,414.31015740883385,676.9914305926466,21.0,20.0,21.0,4.0,2.0,6.0
Gemma3 1B,False,0,0.1305544961834944,-0.036401041962055215,0.2823589828703642,0.2042073156634194,0.09700928994021837,0.3328636620368787,391.0384583316187,106.23812297246594,7269.351871886585,22.0,22.0,23.0,,,
Phi-2 2.7B,False,0,-0.0721074314264608,-0.2166860481533773,0.09270048076733546,0.1076623555407045,-0.0484412941258295,0.24453143112981257,373.2706650718262,-258.47559720925665,6945.479688374492,23.0,22.0,23.0,,,
