model,n,n_groups,b_logp,b_logp_se,b_logp_p,b_linp,b_linp_se,b_linp_p,llf_log,llf_lin,b_stars,b_bed_rank,b_cancel,b_breakfast,b_review_score,b_review_count_100,fit_form
GPT-5.4 Mini,10800,3600,-4.3614145385140075,0.1327798655003999,1.2588683959565112e-236,-0.014660485124012832,0.0004790343393868519,1.0746441109450713e-205,-2118.001074344833,-1930.3526209144754,0.4665682972987744,0.18043376153563476,1.8719654903240273,1.1451482659238177,3.9259697376400395,0.02152941176007127,linear
Phi-4 Mini,10800,3600,-0.4721446160772618,0.07572797415643549,4.525143007866457e-10,-0.001097939271947791,0.0001392404051806533,3.140171785591731e-15,-2821.6999490658727,-2809.946742790504,0.8379792494162632,-0.021904445311373075,1.1933377752969752,1.0606557183111536,1.3822347712765313,0.006699189640964413,linear
GPT-4.1 Mini,10800,3600,-3.7439386194482207,0.12009823896113779,2.4014995262878257e-213,-0.013572211694798227,0.0004564106043550063,2.5656388767686436e-194,-2241.153008015998,-2010.1602134495322,0.4448220981137783,0.3290289547668143,2.021314296954587,1.4935207403176245,2.7265166280378828,0.016962324566425806,linear
Gemma3 27B,10800,3600,-3.3880526740482546,0.11000819829051481,2.77138801623509e-208,-0.010770837761794301,0.00036616262632191036,3.484790696153946e-190,-2396.2032323199,-2188.47775259174,0.9631672450771288,0.2552179319930171,1.7086954490059854,1.7278321228207147,2.356561062694086,0.02117713798065746,linear
Phi-4 14B,10800,3600,-2.6239353417667126,0.10573378477401947,5.95954969137063e-136,-0.008187038884877484,0.00033028795371467745,1.220408609567101e-135,-2182.277968689392,-2028.7324848604817,0.49512684540794766,0.1055682107429533,2.9577995390796157,1.7246574895153577,1.6097356897239046,0.015568853502222212,linear
Gemma2 9B,10800,3600,-4.747102939455976,0.14452746971960911,1.3128717834686325e-236,-0.018681260221242908,0.0006073991528112524,1.0118276378900677e-207,-2035.0403731030885,-1930.3205544640925,0.6743320690472631,0.2085954085340891,2.1340541679512857,1.846184197499489,1.640500796584215,0.009195226114199305,linear
Gemma3 12B,10800,3600,-2.7506359734504793,0.10327910856816583,2.814220664604361e-156,-0.006567218329602423,0.00026825085294413637,2.3180683738624908e-132,-2374.0877315781195,-2351.338015989248,0.23496905470218424,0.18299257898780583,1.8131010170791146,1.8508935302998202,2.804447511274118,0.010255251858646343,linear
Phi-3 Medium,10800,3600,-1.9408041565523928,0.09117947474040887,1.5456355394056161e-100,-0.0033800292240883257,0.0001691548066126232,7.920218078362215e-89,-2445.511144564501,-2474.06172356722,1.1091072384134777,0.13061786820300028,1.6455783612250416,1.1348638070033334,2.7454661927237143,0.008318848591266855,log
GPT-4.1 Nano,10800,3600,-2.5329850608878663,0.09754131898650692,1.1290676467683208e-148,-0.0036285427380884994,0.00018477961495109164,7.44795456610223e-86,-2493.7798644976674,-2680.4981968523175,0.540222499832298,0.19313585922072915,1.612823957857137,1.5844492918840218,2.873361076030587,0.012635707258330492,log
Llama3.2 3B,10800,3600,-1.3106280702571336,0.07742021853386476,2.7614992601379464e-64,-0.001925850421691482,0.0001494322965406724,5.274086871919174e-38,-3062.1164053398197,-3125.395786509282,0.4151446136251034,0.10896796775285458,1.2274813756704146,1.218695715099544,1.4847656617328544,0.009149908473107895,log
Gemma3 4B,10800,3600,-1.0019627964997286,0.07709548616791938,1.282606324129552e-38,-0.0018574839934157202,0.00014826785290664586,5.2539125888363147e-36,-2916.900696133457,-2919.964493868565,0.6629494285365704,0.12093775877777214,1.1836016785806271,1.662709651188105,1.1771155013159607,0.018026821975906226,log
Mistral-Nemo 12B,10800,3600,-2.055067441502583,0.08397858318212656,2.984202151475405e-132,-0.004685693297538933,0.00022765414712965756,3.937720182410315e-94,-3156.059176600915,-3199.8205655936335,0.08713352656706064,0.11056072785707166,0.9130926559189169,0.43354530444755845,1.5669884513644694,0.00641984828214834,log
