model,decile,median_price,coef,se
DeepSeek-R1 7B,9,490.0,-1.6842143402750174,0.11411522480200839
DeepSeek-R1 7B,10,920.5,-2.2585547872025513,0.12895607999103054
DeepSeek-R1 7B,1,114.0,0.0,0.0
Phi-3 Mini,2,162.0,0.16931805857171267,0.08492785840299552
Phi-3 Mini,3,196.0,0.144535927269564,0.08813976799627665
Phi-3 Mini,4,224.0,0.055871907636263415,0.08991419390796669
Phi-3 Mini,5,251.0,0.03052381878527106,0.09087461727576458
Phi-3 Mini,6,281.0,0.050417912956191156,0.09287450636407592
Phi-3 Mini,7,317.5,-0.0014237787171044525,0.09511376217983138
Phi-3 Mini,8,369.0,-0.25664662019520906,0.10063882187891679
Phi-3 Mini,9,490.0,-0.2036815750304611,0.10998382148035336
Phi-3 Mini,10,920.5,-0.5035994301931613,0.12369979078903143
Phi-3 Mini,1,114.0,0.0,0.0
Claude Haiku 4.5,2,162.0,0.10364868990550746,0.16438712323107812
Claude Haiku 4.5,3,196.0,-0.4392598080727227,0.17294025150800518
Claude Haiku 4.5,4,224.0,-1.1677883974295133,0.17839140030073294
Claude Haiku 4.5,5,251.0,-1.6747377793890468,0.18485554575773144
Claude Haiku 4.5,6,281.0,-2.329856152054539,0.19378008110543338
Claude Haiku 4.5,7,317.5,-3.2048561336347006,0.20730330536251543
Claude Haiku 4.5,8,369.0,-4.060067536727184,0.22678256752340278
Claude Haiku 4.5,9,490.0,-5.781952814276632,0.27980355505795723
Claude Haiku 4.5,10,920.5,-9.172547525712696,0.37043048188979355
Claude Haiku 4.5,1,114.0,0.0,0.0
Gemma3 1B,2,162.0,0.19490661896794836,0.07589145384155453
Gemma3 1B,3,196.0,0.21892992410062398,0.08050701947430067
Gemma3 1B,4,224.0,0.2611200082244692,0.08204399451784819
Gemma3 1B,5,251.0,0.2586488197400912,0.08335331310923857
Gemma3 1B,6,281.0,0.4699732685978147,0.08514612367552071
Gemma3 1B,7,317.5,0.35463174591044383,0.08755586252077019
Gemma3 1B,8,369.0,0.1934898380156162,0.09298504117178326
Gemma3 1B,9,490.0,0.3248612670491076,0.1023846287177759
Gemma3 1B,10,920.5,0.26212207149277594,0.11571799973822161
Gemma3 1B,1,114.0,0.0,0.0
GPT-5.4 Nano,2,162.0,0.643349812934722,0.11720750676050319
GPT-5.4 Nano,3,196.0,0.5196495046206367,0.1195218647269321
GPT-5.4 Nano,4,224.0,0.08780779221267476,0.12180870202704469
GPT-5.4 Nano,5,251.0,0.014903467390717006,0.12360971740887769
GPT-5.4 Nano,6,281.0,-0.10303280692651606,0.1264621241516086
GPT-5.4 Nano,7,317.5,-0.534268984688185,0.1312749776485598
GPT-5.4 Nano,8,369.0,-1.17607103323117,0.14081958312378276
GPT-5.4 Nano,9,490.0,-2.154193118649025,0.15826379314959516
GPT-5.4 Nano,10,920.5,-4.784151062337066,0.19562439838396278
GPT-5.4 Nano,1,114.0,0.0,0.0
GPT-5.4,2,162.0,-0.4680867161913239,0.10512535916505218
GPT-5.4,3,196.0,-1.2093251526405264,0.11294905918815337
GPT-5.4,4,224.0,-1.8672156831473776,0.11878794711569322
GPT-5.4,5,251.0,-2.589227682600851,0.1265493807599658
GPT-5.4,6,281.0,-3.319743615706361,0.1359506206456619
GPT-5.4,7,317.5,-4.2829736576330575,0.14995672724703765
GPT-5.4,8,369.0,-5.5147732682305675,0.16980424106156186
GPT-5.4,9,490.0,-8.00157988178776,0.22245420064156116
GPT-5.4,10,920.5,-13.153918325228627,0.37261546653242117
GPT-5.4,1,114.0,0.0,0.0
GPT-5.4 Mini,2,162.0,-0.08854977673227692,0.10451741306100991
GPT-5.4 Mini,3,196.0,-0.5864001947408366,0.10940727943399266
GPT-5.4 Mini,4,224.0,-1.1893278366162958,0.11189880176618136
GPT-5.4 Mini,5,251.0,-1.7274683308708578,0.1179579348819663
GPT-5.4 Mini,6,281.0,-2.213631133898978,0.12269128825390967
GPT-5.4 Mini,7,317.5,-3.027031348080167,0.13232189827413104
GPT-5.4 Mini,8,369.0,-3.844579728692668,0.14624549968279105
GPT-5.4 Mini,9,490.0,-5.445809962090195,0.17419316330242302
GPT-5.4 Mini,10,920.5,-9.584832350817726,0.24748850606672615
GPT-5.4 Mini,1,114.0,0.0,0.0
Phi-4 Mini,2,162.0,0.3552141976739285,0.11034505638904087
Phi-4 Mini,3,196.0,0.36568898295551383,0.11215005448318104
Phi-4 Mini,4,224.0,0.3946548376485784,0.11281942727513856
Phi-4 Mini,5,251.0,0.2829550451975167,0.11374973768049845
Phi-4 Mini,6,281.0,0.384018491602798,0.1156382585397305
Phi-4 Mini,7,317.5,0.1614136316300435,0.11830954848850453
Phi-4 Mini,8,369.0,-0.18842961034047898,0.12420752457753462
Phi-4 Mini,9,490.0,-0.2764894054859799,0.1343669697503876
Phi-4 Mini,10,920.5,-0.8436712850213502,0.14974627122952042
Phi-4 Mini,1,114.0,0.0,0.0
GPT-4.1 Mini,2,162.0,-0.20376461596218998,0.09987084276826487
GPT-4.1 Mini,3,196.0,-0.7473019321281974,0.10561305608731636
GPT-4.1 Mini,4,224.0,-1.1930690593581093,0.10933628874842359
GPT-4.1 Mini,5,251.0,-1.6834952672772887,0.11386947668160127
GPT-4.1 Mini,6,281.0,-2.278525535664573,0.1196377712399322
GPT-4.1 Mini,7,317.5,-3.113550652612591,0.1301611478482798
GPT-4.1 Mini,8,369.0,-3.8157837056994057,0.14180137919899727
GPT-4.1 Mini,9,490.0,-5.639315967528099,0.17448264686266654
GPT-4.1 Mini,10,920.5,-9.301143868746,0.24917187401975405
GPT-4.1 Mini,1,114.0,0.0,0.0
Gemma3 27B,2,162.0,-0.1954669929722123,0.1018135029089909
Gemma3 27B,3,196.0,-0.7016425952792885,0.10580820547204672
Gemma3 27B,4,224.0,-0.9774711477614259,0.109224919146345
Gemma3 27B,5,251.0,-1.4015264031262638,0.11280802356812208
Gemma3 27B,6,281.0,-1.7057700778934426,0.11635471397174353
Gemma3 27B,7,317.5,-2.203652289943739,0.12297370434632263
Gemma3 27B,8,369.0,-2.909717262846454,0.1336141624913343
Gemma3 27B,9,490.0,-4.201568483426773,0.1555601321228481
Gemma3 27B,10,920.5,-7.814900762246076,0.21276252272982446
Gemma3 27B,1,114.0,0.0,0.0
Phi-4 14B,2,162.0,0.05532053655775498,0.10124066534323059
Phi-4 14B,3,196.0,-0.11200784517384707,0.10510231936672007
Phi-4 14B,4,224.0,-0.32238454553752594,0.10896763026828828
Phi-4 14B,5,251.0,-0.7102105207494963,0.11084833454988542
Phi-4 14B,6,281.0,-0.8050397254992108,0.11299909169737446
Phi-4 14B,7,317.5,-1.2692375779744658,0.11971236943662542
Phi-4 14B,8,369.0,-2.063416292110678,0.1293573906127999
Phi-4 14B,9,490.0,-3.208872116569672,0.1497669478891052
Phi-4 14B,10,920.5,-5.681986026361605,0.19197482121705658
Phi-4 14B,1,114.0,0.0,0.0
Gemma2 9B,2,162.0,-0.8029625224609531,0.09812865741569254
Gemma2 9B,3,196.0,-1.3383468514336594,0.10681408378350828
Gemma2 9B,4,224.0,-1.9738753582077704,0.11301083933586854
Gemma2 9B,5,251.0,-2.489391927398429,0.11806986272220413
Gemma2 9B,6,281.0,-3.09792978192829,0.12581214712328292
Gemma2 9B,7,317.5,-4.0302691057658295,0.13885775519220528
Gemma2 9B,8,369.0,-4.956702276691697,0.15523496561122896
Gemma2 9B,9,490.0,-6.8859472764522796,0.2011247370589035
Gemma2 9B,10,920.5,-10.923587583005695,0.3346668521256803
Gemma2 9B,1,114.0,0.0,0.0
Gemma3 12B,2,162.0,-0.1795345757597966,0.09375608275812318
Gemma3 12B,3,196.0,-0.5125530486260179,0.09765932745917251
Gemma3 12B,4,224.0,-0.9118388838171061,0.10067573151384733
Gemma3 12B,5,251.0,-1.0252886077615952,0.10316271008163562
Gemma3 12B,6,281.0,-1.35695550442758,0.10673025975893288
Gemma3 12B,7,317.5,-1.6997281335978174,0.11171905419032742
Gemma3 12B,8,369.0,-2.1679095054823456,0.12043127256521488
Gemma3 12B,9,490.0,-2.706491189134276,0.13446005299547054
Gemma3 12B,10,920.5,-4.728213317941906,0.16462077832206432
Gemma3 12B,1,114.0,0.0,0.0
Phi-3 Medium,2,162.0,-0.3345447685028514,0.1016217893677319
Phi-3 Medium,3,196.0,-0.49955999369245024,0.10419168219804334
Phi-3 Medium,4,224.0,-0.8032177512566318,0.10713507328633591
Phi-3 Medium,5,251.0,-0.9800110545837275,0.10871258278879455
Phi-3 Medium,6,281.0,-1.2667529249667546,0.11237508701409551
Phi-3 Medium,7,317.5,-1.6908202615949248,0.11714174809522962
Phi-3 Medium,8,369.0,-2.207258992082961,0.12559556989880785
Phi-3 Medium,9,490.0,-2.7755519698914823,0.1395586050727755
Phi-3 Medium,10,920.5,-3.9023075515385446,0.16101067443713632
Phi-3 Medium,1,114.0,0.0,0.0
GPT-4.1 Nano,2,162.0,-0.7371007989708864,0.09627591780382616
GPT-4.1 Nano,3,196.0,-1.188455974429268,0.10070076912066787
GPT-4.1 Nano,4,224.0,-1.5373828711943438,0.10456934593574682
GPT-4.1 Nano,5,251.0,-1.8903220682838535,0.1082743972756348
GPT-4.1 Nano,6,281.0,-2.160505408605296,0.11236106257514737
GPT-4.1 Nano,7,317.5,-2.444631980763394,0.11673894131622695
GPT-4.1 Nano,8,369.0,-3.0011723587629833,0.12668537766093407
GPT-4.1 Nano,9,490.0,-3.452324420851308,0.14006449261323517
GPT-4.1 Nano,10,920.5,-4.8669880753331975,0.16492443777741703
GPT-4.1 Nano,1,114.0,0.0,0.0
Llama3.2 3B,2,162.0,0.08545828434750993,0.08744621523968123
Llama3.2 3B,3,196.0,-0.03616413407190666,0.0907359711746466
Llama3.2 3B,4,224.0,-0.37711133873028163,0.09353718966857974
Llama3.2 3B,5,251.0,-0.4946086380738945,0.09507754887465765
Llama3.2 3B,6,281.0,-0.8495976911251377,0.09872182866873075
Llama3.2 3B,7,317.5,-1.1813378361044609,0.10285380317491528
Llama3.2 3B,8,369.0,-1.2844669255851442,0.10840438617675438
Llama3.2 3B,9,490.0,-1.5386205898684708,0.11975959882198497
Llama3.2 3B,10,920.5,-2.061130013904039,0.13528883866188826
Llama3.2 3B,1,114.0,0.0,0.0
Gemma3 4B,2,162.0,0.1023644900388074,0.09077156544719125
Gemma3 4B,3,196.0,-0.07620423835456591,0.0938688515990512
Gemma3 4B,4,224.0,-0.1728345889126938,0.09598033814111089
Gemma3 4B,5,251.0,-0.31817273418367475,0.09738522848744238
Gemma3 4B,6,281.0,-0.32849890579629776,0.09960048376841536
Gemma3 4B,7,317.5,-0.5925401890922698,0.10339819361761483
Gemma3 4B,8,369.0,-0.7931356606019697,0.1089092656004719
Gemma3 4B,9,490.0,-1.1625955201495446,0.12070031722680369
Gemma3 4B,10,920.5,-2.06381203037142,0.13734720120739272
Gemma3 4B,1,114.0,0.0,0.0
Mistral-Nemo 12B,2,162.0,-0.3702033249096864,0.07753675243914485
Mistral-Nemo 12B,3,196.0,-0.6891114730621224,0.08268211264802318
Mistral-Nemo 12B,4,224.0,-0.8357024031089997,0.08531807748377435
Mistral-Nemo 12B,5,251.0,-1.0488295108448598,0.08749438829955321
Mistral-Nemo 12B,6,281.0,-1.258319779832288,0.09031793471525282
Mistral-Nemo 12B,7,317.5,-1.4980362691865423,0.09402650780341194
Mistral-Nemo 12B,8,369.0,-1.8043709222109963,0.10120864850639759
Mistral-Nemo 12B,9,490.0,-2.2879046909420646,0.11416935579427821
Mistral-Nemo 12B,10,920.5,-3.3280289077623655,0.13422268143111754
Mistral-Nemo 12B,1,114.0,0.0,0.0
