model,verdict,error,r2_log,r2_lin,aic_log,aic_lin,n,b_logp,b_logp_se,b_logp_p,b_linp,b_linp_se,b_linp_p,b_d_stars,b_d_stars_se,b_d_stars_p,b_d_bed,b_d_bed_se,b_d_bed_p,b_d_cancel,b_d_cancel_se,b_d_cancel_p,b_d_breakfast,b_d_breakfast_se,b_d_breakfast_p,b_d_review_score,b_d_review_score_se,b_d_review_score_p,b_d_review_count_100,b_d_review_count_100_se,b_d_review_count_100_p,wtp_star,wtp_review,wtp_cancel,wtp_breakfast,fit_form
Gemma3 27B,engaged,,0.4767069159421162,0.5491802331263942,2593.423113710195,2236.463680213562,3600.0,-4.382456914114496,0.1708723461127893,4.502771490860819e-145,-0.012768187083368751,0.0005118747519741051,2.4827848501708334e-137,1.1800548542258482,0.08535930814265875,1.812177962075801e-43,0.2878326775926836,0.050628772423126286,1.3069015843400624e-08,1.9782698617316723,0.09082309935641819,3.469626115077889e-105,2.354224515484478,0.10916392028456762,3.7507174820632275e-103,3.6834790973196347,0.15597932330799572,2.6918884065122053e-123,0.03089436638347884,0.0028090663800119675,3.9030908247987476e-28,70.38893091527109,346.2421158936418,168.73583714518043,182.16299099568602,linear
Qwen3 30B-A3B,engaged,,0.0935841439927928,0.08980416697173588,4539.355256345692,4558.218760126818,3600.0,-0.4026591376646635,0.0814752134380814,7.728319268388949e-07,-0.00037107718610883585,0.00015400493326592964,0.01597374244760753,0.30582922894752806,0.0578780682300357,1.2637516544837984e-07,0.02360782194980257,0.03576830664664451,0.5092405607590622,0.575357590066944,0.05287902385487099,1.4255944938273673e-27,0.4851104652110737,0.06281473505440745,1.1373301864978646e-14,0.8225245607167874,0.07395208123291502,9.761130738351137e-29,0.0012781581334114474,0.0015156172882214729,0.39904663684738484,464.8814689916222,2072.9499708423436,1528.8101385933687,1176.269951426331,log
Llama3 8B,locked-primacy,,0.028641537828891783,0.023611870091460485,4859.569931164009,4884.64980472821,3600.0,-0.5937790888407858,0.07897407191873347,5.5341063918348446e-14,-0.0008525459144808187,0.00015086740244139524,1.595526331474188e-08,0.11882057260412991,0.05489013514241747,0.030410810800623828,0.023166540396682558,0.03409943273128745,0.4968958595875377,0.3372875682477839,0.050051960476410653,1.597567649346777e-11,0.2620088531260867,0.059259459463299,9.807050070031176e-06,0.4186028060052564,0.0675065434287786,5.613335330235166e-10,1.1074786828479649e-05,0.0013879511783199973,0.993633560173229,-30.902259326997562,439.38277639036596,380.3453161913819,238.89164292492342,log
Llama3.1 8B,locked-primacy,,0.021660476148527508,0.015857243903942275,4897.446443031717,4926.401797188213,3600.0,-0.5533420112350892,0.07827358914592177,1.556809543511257e-12,-0.0006902828400337615,0.00014805033591395387,3.1241007349064135e-06,0.14928583839640205,0.05466661448753993,0.006317291958071288,0.020586478689529005,0.03393629166253124,0.5441022354900014,0.24203086501166676,0.04958785092666187,1.056295345509711e-06,0.22839557221332815,0.058896551901941145,0.00010535734816781575,0.41053296199128336,0.06710643520051683,9.497176084241376e-10,0.0002537463426888221,0.0013816371771053987,0.8542831098035456,-4.7225711217536706,520.9810484821617,334.87325931593205,247.62398766557072,log
DeepSeek-R1 1.5B,engaged,,0.034390756800710465,0.01760769106288429,4829.463742985933,4913.125616558639,3600.0,-0.9627968536206268,0.0808134569072757,1.002776246909859e-32,-0.001213404234634974,0.000151956794395532,1.403033387243821e-15,0.630311945622054,0.05669784742543682,1.0366007698275312e-28,-0.02868340046620979,0.03424141671292101,0.402209620196606,-0.06078501072764922,0.0499091539780938,0.22325701054372615,0.2353442882123656,0.05939660313602402,7.424622497988958e-05,0.017185007046116817,0.06657450227850388,0.7963050633368014,0.0010205242809763198,0.0013773373287682203,0.4587298382353263,297.9431156382526,-51.53674378176224,-61.65134654517042,111.77714236868042,log
DeepSeek-R1 7B,engaged,,0.13447596881169488,0.13382629334086116,4334.98195035504,4338.223843741023,3600.0,-0.6686072666804166,0.08466934943537373,2.8641670516728863e-15,-0.0012361648791889316,0.00016024143424999798,1.2156245640636511e-14,0.6807083680181879,0.06139150383840495,1.4347565646596138e-28,0.051239024938612286,0.036885549371729304,0.1647915598856412,0.338450545463571,0.05352203215852352,2.555812722729269e-10,0.6883430837594917,0.06585635201011263,1.4318064395792635e-25,0.9096710620689199,0.07786857729857656,1.5729841340152792e-31,0.006263397818754004,0.0016307376566886758,0.0001226154267498181,459.05510572524827,716.4619683119527,261.085484342508,510.8614078580439,log
Mistral 7B,locked-primacy,,3.1651222607287366e-06,3.378557345001809e-06,5006.633904401254,5006.632839221515,3600.0,-0.0013631511042712192,0.07579577847796301,0.9856511983470004,5.356876571930179e-06,0.00014375395419215418,0.9702743472982138,-6.267331726798795e-06,0.05379801932656472,0.999907048488522,-0.000248205944762379,0.033421369061355885,0.9940745135115571,0.0020772203800922357,0.048660823515914844,0.9659504560394445,0.006261359047797927,0.05781934406850296,0.9137642516585663,0.0018495314093295982,0.0648136276592259,0.9772345361266275,1.6914620152789267e-05,0.0013408237984639786,0.9899348770974193,293.1461535111216,-205.20092767525443,-398.71023534200964,-1103.0843696085492,insignificant
Mistral-Nemo 12B,engaged,,0.10536562416437656,0.09778093252435671,4461.312885942804,4499.000156177408,3600.0,-1.374769587196374,0.08943451733815104,2.530369690945786e-53,-0.002556036259967912,0.00018673532690706004,1.197330293037713e-42,0.09551174272946415,0.05787447662949572,0.09887631537378308,0.05604127910730367,0.03597454062654003,0.11927974506586438,0.47749929134497565,0.05335334315104317,3.5627573437170474e-19,0.23146303687740805,0.062381938484946206,0.00020691771288439134,1.1178635168723603,0.07734410977146065,2.3959073907928048e-47,0.0014951242801390778,0.0015638638742441497,0.3390494863073289,-57.27341876115352,413.6707831018571,174.69241365635997,44.03413910018731,log
Phi-2 2.7B,engaged,,0.0050411025152085065,0.005948864102296225,4068.272314651208,4064.5751798680944,3600.0,-0.07210743142646087,0.08769700947064625,0.41094393567771914,-0.00034547504112538883,0.00016470133388419732,0.035941824682788406,0.09134902624618094,0.06224572476566261,0.14222513193131697,0.06723120322628905,0.03856651375543759,0.0812893750018896,0.03903284733011661,0.056193173055537726,0.4872940834548095,0.06769227714193415,0.06665242881087716,0.30981940139739583,0.10766235554070454,0.07413270276333277,0.1464203395592091,0.002562393035127745,0.0014955217247100817,0.08664314225319573,331.44507975722763,359.33679426378825,100.96909693357202,198.07194584216924,linear
Phi-3 Mini,engaged,,0.27013176642434855,0.2682273456425839,3657.5304854987753,3667.0322092551833,3600.0,-0.4727385961965546,0.0927113461299524,3.4138559008082775e-07,-0.000724364727956701,0.0001766849503830304,4.135905802015059e-05,0.844259140880261,0.06920667276697391,3.1427729853277166e-34,0.00844658369388707,0.04092325865543587,0.8364780297989106,1.043972960486975,0.06300903566230444,1.1748536704207502e-61,1.1940391900810745,0.0770788794353186,3.9820908734624225e-54,1.220920631987166,0.08788673291223163,7.085051674934509e-44,0.002480149886204955,0.0017455997652441049,0.15537462088618006,1020.2825549267109,1636.028097997977,1425.196257678245,1579.9648215170753,log
Phi-3 Medium,engaged,,0.35752002830182616,0.3206585137682938,3218.6972309393313,3402.448127037669,3600.0,-2.1837652757578883,0.11493126863052733,1.6854414168424066e-80,-0.003124793139410683,0.00020921573649997847,1.9290258716568227e-50,0.9991951564971632,0.07521133611217645,2.822282807677933e-40,0.09656455679856984,0.044636103409643746,0.03051247520694935,1.7612275326420006,0.07588154973317301,3.590231878209218e-119,1.167681263600336,0.0819448967339845,4.5091430254892746e-46,2.4075465976178876,0.11357639629377782,1.004999864394259e-99,0.004095987631189516,0.0020999877415646896,0.05111873410388822,151.14737405364872,680.1918526580503,516.5095805270837,286.00184680820456,log
Phi-4 Mini,engaged,,0.4379754618739221,0.4380297040992386,2819.1188187529806,2818.8482835854907,3600.0,-0.7608746748516788,0.10932203733515099,3.404209097422544e-12,-0.001476154477888113,0.00021072190246119744,2.465880682766466e-12,0.7967271217911808,0.07964518446672189,1.4716898222471773e-23,-0.07992765763742288,0.047677596093070776,0.09365602804312473,1.3970682707175346,0.07638487484184876,9.968022492916252e-75,1.0607289171058578,0.08757077238013072,9.033518488671135e-34,3.2607400441427807,0.13863869873542678,2.564857330061728e-122,0.009686055092799413,0.002364987612743574,4.210673293856766e-05,464.4796162271199,2187.682207972031,934.3559292064732,681.1026274502639,tie
Phi-4 14B,engaged,,0.42851667504604507,0.4602829489430713,2850.7671367770495,2693.194753876107,3600.0,-3.273301045751406,0.14303099832256247,6.515668569683355e-116,-0.008032435408440649,0.0003548233348006147,1.8381541203491784e-113,0.6538995174871615,0.07696465764616153,1.9606513047252167e-17,0.09998982203270866,0.04769833421108702,0.036055950996116554,2.3453937322759915,0.09240724458923696,4.082309490226873e-142,1.9828291241125229,0.09919374890222102,6.803282043002115e-89,2.6399718472626508,0.128540989337852,9.858468726114094e-94,0.024070073233938793,0.00256260874734337,5.842562325417185e-21,34.01052316252495,347.5648092612668,299.02610379757476,225.48235926615013,linear
GPT-4.1 Nano,engaged,,0.4326762178187291,0.39576983960847567,2841.26296707673,3025.0561146254795,3600.0,-2.4212221364889865,0.12544894697246528,5.323524824505875e-83,-0.003522289272779041,0.00022630828239917998,1.2761309206268097e-54,0.8715783783704816,0.07897711434269665,2.5665718766807264e-28,0.16143612730867068,0.04788720905351864,0.0007484849180785419,1.2581178958755772,0.07429822292235935,2.5541561826884164e-64,1.3533017518835553,0.08968313740867984,1.8897779901998313e-51,4.040256107354449,0.1576759874745939,8.28749557618959e-145,0.01369010934162883,0.002536009307459026,6.727969828132997e-08,91.65177376046603,1020.4994791172559,320.635252032026,295.71614190307344,log
GPT-4.1 Mini,engaged,,0.5045462204204691,0.5366642407204865,2437.8585336368005,2280.8604346150714,3600.0,-5.679632170600266,0.21005119270289108,5.106591299496375e-161,-0.017771068520595287,0.00071279741109071,3.394620015955006e-137,0.9151789465250891,0.08620514059120422,2.503072855220392e-26,0.44507884175896534,0.05172165149624204,7.613648012860421e-18,1.9811673341146838,0.09264865166069677,1.8965334772600434e-101,1.5964294444676228,0.09901543636212282,1.75758305111265e-58,2.6974827373191053,0.1345531569686209,2.1135015247559355e-89,0.010187943736758366,0.002529254096211476,5.6243107934539206e-05,32.56570555606561,152.60583188116604,112.315032448488,76.88744253331676,linear
GPT-5.4 Nano,engaged,,0.5475892991521495,0.5685003591918971,2271.895174131383,2167.624520627316,3600.0,-2.4668734358167326,0.1418189895878894,9.078198914059867e-68,-0.005763278724594932,0.00031094220417561644,1.0801571927598833e-76,0.3669450666565392,0.08603421548702171,1.9980713132670143e-05,0.14952442892851928,0.054733687904563316,0.006297909614435025,2.701517413244847,0.10914482316584313,2.9740338501034324e-135,2.6135189420889584,0.12254206165980443,6.305652950177389e-101,4.937655905924098,0.1953897249139917,6.690373509157649e-141,0.010641746341183643,0.0027648452925372424,0.00011862608189713714,11.120491333880642,911.2104490523105,480.03648985828903,437.37237850470655,linear
GPT-5.4 Mini,engaged,,0.45321284405186757,0.5204471242592215,2694.571834852665,2365.2081192991604,3600.0,-4.56218654593201,0.1731414032819786,5.202837466508777e-153,-0.013705349429295613,0.0005450600238222895,1.6166102300462023e-139,0.6999177292256068,0.07935368723260096,1.142254134226452e-18,0.21560573880999964,0.04858211631710917,9.081332070587873e-06,1.6123300592698988,0.08252452842420159,5.261247319711033e-85,1.2363343622359022,0.0903287363686234,1.213282271461104e-42,4.059529937459583,0.1600367784409011,5.95052750604721e-142,0.02201606772770228,0.002732222681879054,7.759522980857443e-16,28.003629371121725,349.8119601678971,127.03812663600637,75.96773896615883,linear
GPT-5.4,engaged,,0.5703344750812416,0.6383149910276673,2093.4096583959354,1764.7275272509098,3600.0,-7.0237183869019555,0.2633111685549183,9.281162539047016e-157,-0.02920995738943388,0.0011937067089348935,3.0858275707885855e-132,0.9205011714988636,0.0941798909405811,1.4578773140117571e-22,0.3262016998250501,0.05467473665564961,2.4280761360170297e-09,1.8779602093960432,0.09851407301525184,5.138525895860707e-81,1.6575904798209358,0.10753858562538504,1.3197131829861294e-53,3.014255930715156,0.15374722462811963,1.3940902322312773e-85,0.02314472088489889,0.002912751700766807,1.926326274464419e-15,28.592768868677176,115.01967954996591,72.5542538001273,56.798007468853434,linear
Claude Haiku 4.5,engaged,,0.4194069816352751,0.44915542746792536,2882.808896265208,2735.9192395426553,3600.0,-4.747569804186318,0.17206828180197611,1.4191331437339663e-167,-0.012843966961988747,0.0004967727500650148,2.1479875403244298e-147,1.4952316798792886,0.08530707498702113,8.815347031459249e-69,0.10323873375277588,0.0465842666528702,0.026679744769620897,1.3934861403438497,0.07723319587073063,9.02307203886687e-73,1.8316604870596471,0.09481167675226292,3.722615379910701e-83,2.6319313982996437,0.12549147884559747,1.1575828167052443e-97,0.01854996218304266,0.002493760091165037,1.0179550168385359e-13,84.95121676582976,214.21844027930217,105.60015025202878,121.4711290611956,linear
