model,provider,brand,coef,se,pvalue
Gemma3 27B,Google,Hilton,0.48580406297724354,0.1235958463015844,8.473919051279177e-05
Gemma3 27B,Google,Marriott,0.5022512675146564,0.10258749937235301,9.789015951108843e-07
Gemma3 27B,Google,IHG,0.4719621426906543,0.1253041542528843,0.0001655306857655515
Gemma3 27B,Google,Hyatt,0.5790661786227381,0.13875064265309797,3.0004707927753368e-05
Gemma3 27B,Google,Wyndham,1.1465621699956206,0.28551516744669775,5.925296519516472e-05
Phi-4 14B,Microsoft,Hilton,0.39698542873006853,0.11593823137322844,0.0006168131288717699
Phi-4 14B,Microsoft,Marriott,0.42132421498183653,0.09745159622487647,1.5362861384437014e-05
Phi-4 14B,Microsoft,IHG,0.3726877439462733,0.12124402984414821,0.0021130523723100043
Phi-4 14B,Microsoft,Hyatt,0.36961273430801095,0.13198668434141228,0.005104264506400575
Phi-4 14B,Microsoft,Wyndham,0.24441248410131292,0.2583700446445134,0.3441595981361284
Gemma2 9B,Google,Hilton,-0.05623850768304039,0.12351137749264013,0.6488714263100659
Gemma2 9B,Google,Marriott,0.05072146491097366,0.10909451114305733,0.6419805760846349
Gemma2 9B,Google,IHG,-0.11784834104050013,0.13065891932025406,0.3670812791132214
Gemma2 9B,Google,Hyatt,0.20497544089785147,0.15637154215463586,0.18991751195945494
Gemma2 9B,Google,Wyndham,0.11278893265037011,0.2461506934382585,0.646800924160863
Gemma3 12B,Google,Hilton,0.12107297800677289,0.10324033523841579,0.24090433139614165
Gemma3 12B,Google,Marriott,0.18540819219482454,0.08729221890147343,0.03367060410054879
Gemma3 12B,Google,IHG,0.03738166756696954,0.10764802539697181,0.7283972945870679
Gemma3 12B,Google,Hyatt,-0.0007289424659705943,0.11893775828788804,0.9951099776333946
Gemma3 12B,Google,Wyndham,0.8185045203743128,0.26472009493372983,0.0019883818418098866
Phi-3 Medium,Microsoft,Hilton,0.16540718684405334,0.10428088986212497,0.11270082123604558
Phi-3 Medium,Microsoft,Marriott,0.25750127251854177,0.09011633995758184,0.00427084745722155
Phi-3 Medium,Microsoft,IHG,0.17898763262063144,0.11168583719395198,0.1090231719202663
Phi-3 Medium,Microsoft,Hyatt,0.18376089388165603,0.12174013508072656,0.13118330560429353
Phi-3 Medium,Microsoft,Wyndham,-0.13480303629935472,0.28040525966934154,0.6306987336079563
GPT-4.1 Nano,OpenAI,Hilton,0.15197836262021436,0.11025880962015165,0.16808648588055752
GPT-4.1 Nano,OpenAI,Marriott,0.1664249772441956,0.09418854310554414,0.07723921452353097
GPT-4.1 Nano,OpenAI,IHG,0.1283325501019845,0.11508032725007268,0.2647834557869546
GPT-4.1 Nano,OpenAI,Hyatt,0.2636672847470499,0.12900461160306403,0.04096744155648515
GPT-4.1 Nano,OpenAI,Wyndham,0.4927612102941943,0.300137801042609,0.10063493441035629
Llama3.2 3B,Meta,Hilton,0.16629218405104232,0.09441868442086038,0.07820097948931022
Llama3.2 3B,Meta,Marriott,0.26371280540653075,0.08207756781208132,0.0013136977471953342
Llama3.2 3B,Meta,IHG,-0.04228444815989582,0.10077706364475895,0.6747893447956773
Llama3.2 3B,Meta,Hyatt,0.35956208362460346,0.11265435947682725,0.001414243994833041
Llama3.2 3B,Meta,Wyndham,0.07166502490901591,0.24599168587316347,0.7707981151004752
Gemma3 4B,Google,Hilton,0.1576964572276973,0.09329568686601379,0.09097312129323075
Gemma3 4B,Google,Marriott,0.3794256979864653,0.07994915141169517,2.0764514853466042e-06
Gemma3 4B,Google,IHG,0.1561328254000659,0.09933758928059427,0.11601094832712995
Gemma3 4B,Google,Hyatt,0.09494137552674561,0.10807220221905227,0.37967270936663877
Gemma3 4B,Google,Wyndham,0.06125496620176574,0.24184537565485179,0.8000506696168876
Mistral-Nemo 12B,Mistral,Hilton,0.10831929729371864,0.08400689272963319,0.19725571187933233
Mistral-Nemo 12B,Mistral,Marriott,0.0044045179044932175,0.0734747057006878,0.9521986083929823
Mistral-Nemo 12B,Mistral,IHG,0.09326018713638307,0.09207065690697282,0.3110984920778792
Mistral-Nemo 12B,Mistral,Hyatt,0.12234107679255342,0.10064050034275895,0.2241279252772722
Mistral-Nemo 12B,Mistral,Wyndham,0.49051016507574524,0.18690033548219182,0.008678960755632254
