task_id,task_type,group_id,rep,a_hotel_id,a_name,a_stars,a_neighborhood,a_review_score,a_review_count,a_room_type,a_cancellation_free,a_breakfast_included,a_amenities,a_price,b_hotel_id,b_name,b_stars,b_neighborhood,b_review_score,b_review_count,b_room_type,b_cancellation_free,b_breakfast_included,b_amenities,b_price,c_hotel_id,c_name,c_stars,c_neighborhood,c_review_score,c_review_count,c_room_type,c_cancellation_free,c_breakfast_included,c_amenities,c_price,d_hotel_id,d_name,d_stars,d_neighborhood,d_review_score,d_review_count,d_room_type,d_cancellation_free,d_breakfast_included,d_amenities,d_price,e_hotel_id,e_name,e_stars,e_neighborhood,e_review_score,e_review_count,e_room_type,e_cancellation_free,e_breakfast_included,e_amenities,e_price
11,fiveopt,11,1,20,SpringHill Suites by Marriott Midtown Manhattan,3,Midtown,8.0,2986,Suite (2 double beds),0,1,Free WiFi; Breakfast; Fitness center,181,33,MADE Hotel,4,Midtown,8.9,2155,King Room (1 king bed),1,0,Free WiFi; Rooftop bar; Allergy-free rooms,262,90,InterContinental New York Times Square,5,Times Square,8.4,2887,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,427,121,Hyatt Regency Times Square,4,Times Square,7.7,2441,Double Room (2 double beds),0,0,Free WiFi; Fitness center; Restaurant; Bar,215,174,Moxy NYC Chelsea,3,Chelsea,8.1,1430,Queen Room (1 queen bed),0,0,Free WiFi; Rooftop bar; Restaurant,180
12,fiveopt,12,1,4,Radio Hotel,2,Washington Heights,8.0,1091,Standard King (1 king bed),0,0,Free WiFi; Restaurant; Bar,95,85,Holiday Inn New York City - Wall Street,3,Financial District,7.8,1957,Double Room (2 double beds),1,0,Free WiFi; Fitness center,167,122,Park Hyatt New York,5,Midtown,9.0,870,Park King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa; Pool,850,138,The Standard East Village,4,East Village,8.2,1167,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant; Bar,413,158,The James New York NoMad,4,NoMad,8.2,862,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Rooftop bar; Fitness center,238
13,fiveopt,13,1,37,NobleDEN Hotel,4,Little Italy,9.0,981,Deluxe Queen (1 queen bed),1,0,Free WiFi; Restaurant,390,42,Virgin Hotels New York City,4,NoMad,8.4,970,Chamber King (1 king bed),0,0,Free WiFi; Restaurant; Rooftop bar; Fitness center,245,118,Hyatt Centric Wall Street New York,4,Financial District,8.4,1242,King Room (1 king bed),0,1,Free WiFi; Fitness center; Restaurant; Bar,216,124,"The Beekman, A Thompson Hotel",5,Financial District,9.0,1460,Turret Suite (1 king bed),0,0,Free WiFi; Restaurant; Bar; Fitness center; Historic atrium,484,169,Henry Norman Hotel,4,"Greenpoint, Brooklyn",8.2,512,Loft Suite (1 king bed),1,0,Free WiFi; Garden,237
14,fiveopt,14,1,28,citizenM New York Times Square,4,Times Square,8.8,3424,citizenM King Room (1 king bed),1,0,Free WiFi; Soundproof rooms; Rain shower; Smart TV,306,30,Courtyard by Marriott Manhattan/Central Park,4,Midtown,8.1,2609,Double Room (2 double beds),0,0,Free WiFi; Fitness center; Restaurant,323,127,Days Inn by Wyndham NYC Midtown 45,2,Midtown,6.5,2302,King Room (1 king bed),0,0,Free WiFi,98,129,Best Western Plus Hospitality House Suites,3,Midtown East,7.7,1512,Studio Suite (1 queen bed),1,0,Free WiFi; Kitchen; Fitness center,205,133,HI New York City Hostel,1,Upper West Side,6.9,3152,Dorm Bed (1 bunk bed),1,0,Free WiFi; Shared kitchen; Lounge,85
15,fiveopt,15,1,19,Romer Hell's Kitchen,3,Hell's Kitchen,8.1,674,Studio Queen (1 queen bed),0,0,Free WiFi; Fitness center,191,25,Hotel Indigo NYC Financial District,3,Financial District,7.8,2169,Standard King (1 king bed),0,0,Free WiFi; Restaurant; Fitness center,124,28,citizenM New York Times Square,4,Times Square,8.6,3162,citizenM King Room (1 king bed),1,0,Free WiFi; Soundproof rooms; Rain shower; Smart TV,261,51,Nine Orchard,4,Lower East Side,9.1,677,King Room (1 king bed),0,1,Free WiFi; Restaurant; Spa,331,153,The Renwick Hotel,4,Midtown East,8.1,916,King Room (1 king bed),0,1,Free WiFi; Restaurant; Bar,307
16,fiveopt,16,1,79,DoubleTree by Hilton New York Times Square West,4,Times Square,7.8,3397,King Room (1 king bed),1,0,Free WiFi; Restaurant; Fitness center,252,92,Kimpton Hotel Eventi,4,Chelsea,8.5,1752,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Fitness center; Wine hour,273,135,The Ludlow Hotel,4,Lower East Side,8.6,995,King Room (1 king bed),0,0,Free WiFi; Restaurant; Bar; Garden,458,140,NoMo SoHo,4,SoHo,8.4,1145,King Room (1 king bed),0,0,Free WiFi; Restaurant; Bar,264,144,1 Hotel Central Park,5,Midtown,8.8,1123,Queen Room (1 queen bed),0,1,Free WiFi; Restaurant; Spa; Fitness center,456
17,fiveopt,17,1,39,Motto by Hilton New York City Chelsea,4,Chelsea,8.7,2157,King Room (1 king bed),0,1,Free WiFi; Fitness center,262,46,New York Hilton Midtown,4,Midtown,7.5,13333,Executive King (1 king bed),0,0,Free WiFi; Restaurant; Fitness center; Business center,330,94,EVEN Hotel New York - Times Square South,3,Midtown,8.5,1379,King Room (1 king bed),0,0,Free WiFi; Fitness center; In-room training zone,241,121,Hyatt Regency Times Square,4,Times Square,8.0,2687,Double Room (2 double beds),1,0,Free WiFi; Fitness center; Restaurant; Bar,346,137,The Marlton Hotel,4,Greenwich Village,8.5,967,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant; Bar,368
18,fiveopt,18,1,67,Equinox Hotel New York,5,Hudson Yards,8.8,900,King Room (1 king bed),1,0,Free WiFi; Rooftop pool; Spa; Fitness center; Restaurant,1020,92,Kimpton Hotel Eventi,4,Chelsea,8.4,1760,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Fitness center; Wine hour,313,104,Residence Inn New York Manhattan/Midtown East,3,Midtown East,8.2,1438,One-Bedroom Suite (1 king bed),1,1,Free WiFi; Breakfast included; Kitchen; Fitness center,287,114,Sheraton Brooklyn New York Hotel,4,Downtown Brooklyn,7.7,1504,King Room (1 king bed),0,0,Free WiFi; Restaurant; Fitness center; Pool,278,120,Hyatt Place New York/Chelsea,3,Chelsea,8.1,1190,Double Room (2 double beds),1,0,Free WiFi; Breakfast; Fitness center,272
19,fiveopt,19,1,3,Now Now NoHo,2,NoHo,7.6,729,Pod Room (1 single bed),0,0,Free WiFi; Shared lounge,103,11,Moxy NYC Lower East Side,3,Lower East Side,8.2,1148,Queen Room (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,130,91,InterContinental New York Barclay,5,Midtown East,8.6,1449,Premium King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,412,115,Hyatt Grand Central New York,4,Midtown East,7.9,3522,Double Room (2 double beds),0,1,Free WiFi; Fitness center; Restaurant,342,148,"The Carlyle, A Rosewood Hotel",5,Upper East Side,9.2,573,Superior King (1 king bed),0,0,Free WiFi; Spa; Restaurant; Live jazz; Fitness center,857
20,fiveopt,20,1,27,citizenM New York Bowery,4,Lower East Side,8.7,2907,citizenM King Room (1 king bed),1,0,Free WiFi; Rain shower; Rooftop bar; Smart TV,238,33,MADE Hotel,4,Midtown,8.9,2183,King Room (1 king bed),1,0,Free WiFi; Rooftop bar; Allergy-free rooms,208,74,Hampton Inn Manhattan-SoHo,3,SoHo,8.1,1420,Double Room (2 double beds),1,0,Free WiFi; Breakfast included; Fitness center,204,94,EVEN Hotel New York - Times Square South,3,Midtown,8.4,1296,King Room (1 king bed),0,0,Free WiFi; Fitness center; In-room training zone,206,168,The Boro Hotel,4,"Long Island City, Queens",8.6,852,Queen Room (1 queen bed),0,0,Free WiFi; Bar; Manhattan views,192
21,fiveopt,21,1,3,Now Now NoHo,2,NoHo,7.7,860,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,170,132,The Local NYC,2,"Long Island City, Queens",8.2,916,Bunk Room (2 bunk beds),0,0,Free WiFi; Shared kitchen,88,135,The Ludlow Hotel,4,Lower East Side,8.8,1129,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Bar; Garden,344,142,The Mercer,5,SoHo,8.8,663,Mercer King (1 king bed),0,0,Free WiFi; Restaurant; Bar,760,157,Hotel Hugo,4,SoHo,8.0,1227,King Room (1 king bed),1,0,Free WiFi; Rooftop bar; Restaurant,264
22,fiveopt,22,1,31,New Yorker by Lotte Hotels,4,Midtown,9.0,14415,Superior King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,369,46,New York Hilton Midtown,4,Midtown,7.7,12670,King Room (1 king bed),1,0,Free WiFi; Restaurant; Fitness center; Business center,346,119,Hyatt Place New York Midtown South,3,Midtown,8.0,1737,Double Room (2 double beds),1,1,Free WiFi; Breakfast; Fitness center,199,126,Ramada by Wyndham New York/Eastside,2,Midtown East,6.9,1920,Queen Room (1 queen bed),0,0,Free WiFi,108,171,New York Marriott Marquis,4,Times Square,7.7,9332,King Room (1 king bed),1,1,Free WiFi; Restaurant; Bar; Fitness center; Theater,453
23,fiveopt,23,1,3,Now Now NoHo,2,NoHo,7.5,874,Pod Room (1 single bed),0,0,Free WiFi; Shared lounge,160,12,Moxy NYC East Village,3,East Village,7.9,1070,Queen Room (1 queen bed),0,0,Free WiFi; Rooftop bar; Restaurant,162,27,citizenM New York Bowery,4,Lower East Side,8.6,3035,citizenM King Room (1 king bed),1,0,Free WiFi; Rain shower; Rooftop bar; Smart TV,145,47,Embassy Suites Manhattan Times Square,4,Times Square,8.5,3428,Double Suite (2 double beds),1,1,Free WiFi; Breakfast included; Evening reception; Restaurant,375,66,The Plaza,5,Midtown,8.6,4005,Deluxe King (1 king bed),1,1,Free WiFi; Spa; Restaurant; Fitness center; Palm Court,1087
24,fiveopt,24,1,28,citizenM New York Times Square,4,Times Square,8.7,3298,citizenM King Room (1 king bed),1,0,Free WiFi; Soundproof rooms; Rain shower; Smart TV,199,39,Motto by Hilton New York City Chelsea,4,Chelsea,8.7,2160,Flex Room (1 queen bed),1,0,Free WiFi; Fitness center,163,104,Residence Inn New York Manhattan/Midtown East,3,Midtown East,8.2,1378,Studio Suite (1 king bed),0,0,Free WiFi; Breakfast included; Kitchen; Fitness center,264,118,Hyatt Centric Wall Street New York,4,Financial District,8.4,1107,King Room (1 king bed),1,1,Free WiFi; Fitness center; Restaurant; Bar,284,127,Days Inn by Wyndham NYC Midtown 45,2,Midtown,6.6,2097,Queen Room (1 queen bed),0,0,Free WiFi,119
25,fiveopt,25,1,5,Carlton Arms Hotel,2,Gramercy,7.3,1012,Standard Room (1 twin bed),0,0,Free WiFi,117,35,LUMA Hotel Times Square,4,Times Square,8.4,2269,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Bar; Fitness center,326,76,Hilton Garden Inn New York/Manhattan-Chelsea,3,Chelsea,8.0,1751,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center; Business center,274,150,The Peninsula New York,5,Midtown,9.1,859,Superior King (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar; Spa; Pool,822,159,Smyth Tribeca,4,TriBeCa,8.6,670,King Room (1 king bed),1,0,Free WiFi; Restaurant,380
26,fiveopt,26,1,14,Margaritaville Resort Times Square,3,Midtown West,7.8,1981,Standard King (1 king bed),0,0,Free WiFi; Pool; Bar; Restaurant,92,16,Broadway Plaza Hotel,3,Upper West Side,9.2,2006,One-Bedroom Suite (1 king bed),0,0,Free WiFi; Kitchenette,99,20,SpringHill Suites by Marriott Midtown Manhattan,3,Midtown,8.0,2923,Suite (2 double beds),0,1,Free WiFi; Breakfast; Fitness center,155,37,NobleDEN Hotel,4,Little Italy,9.0,954,Deluxe King (1 king bed),1,0,Free WiFi; Restaurant,226,92,Kimpton Hotel Eventi,4,Chelsea,8.5,1849,King Room (1 king bed),0,0,Free WiFi; Restaurant; Fitness center; Wine hour,393
27,fiveopt,27,1,34,Public Hotel,4,Lower East Side,8.4,2038,King Room (1 king bed),1,0,Free WiFi; Restaurant; Fitness center; Bar,275,37,NobleDEN Hotel,4,Little Italy,9.3,973,Deluxe Queen (1 queen bed),1,1,Free WiFi; Restaurant,362,71,Hampton Inn Manhattan-35th St/Empire State Bldg,3,Midtown,8.3,2580,Double Room (2 double beds),1,1,Free WiFi; Breakfast included; Fitness center,181,109,W New York - Union Square,4,Union Square,8.2,1635,Wonderful King (1 king bed),0,1,Free WiFi; Fitness center; Restaurant; Bar,400,118,Hyatt Centric Wall Street New York,4,Financial District,8.4,1318,Queen Room (1 queen bed),0,0,Free WiFi; Fitness center; Restaurant; Bar,217
28,fiveopt,28,1,34,Public Hotel,4,Lower East Side,8.2,2043,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Fitness center; Bar,279,106,AC Hotel New York Times Square,4,Times Square,8.4,1876,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,308,108,W New York - Times Square,4,Times Square,8.0,3022,Spectacular King (1 king bed),0,1,Free WiFi; Fitness center; Restaurant; Bar,345,164,Even Hotel Brooklyn,3,Downtown Brooklyn,8.1,699,Queen Room (1 queen bed),1,0,Free WiFi; Fitness center,133,169,Henry Norman Hotel,4,"Greenpoint, Brooklyn",8.4,537,Loft Suite (1 king bed),1,0,Free WiFi; Garden,185
29,fiveopt,29,1,13,Aloft New York Chelsea,3,Chelsea,8.3,1745,Savvy Queen Room (1 queen bed),1,0,Free WiFi; Fitness center; Bar,195,102,Fairfield Inn & Suites New York Manhattan/Downtown East,3,Lower East Side,7.9,953,King Room (1 king bed),1,1,Free WiFi; Breakfast included; Fitness center,254,140,NoMo SoHo,4,SoHo,8.3,1159,King Room (1 king bed),1,0,Free WiFi; Restaurant; Bar,356,145,The Langham New York Fifth Avenue,5,Midtown,9.2,740,Deluxe King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,589,178,Loews Regency Hotel New York,5,Upper East Side,8.5,1194,Deluxe King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,603
30,fiveopt,30,1,7,voco Times Square South,3,Hell's Kitchen,8.0,1313,Standard King (1 king bed),1,0,Free WiFi; Restaurant; Fitness center,140,72,Hampton Inn Manhattan-Seaport/Financial District,3,Financial District,8.3,1692,Double Room (2 double beds),0,1,Free WiFi; Breakfast included; Fitness center,290,161,Wythe Hotel,4,"Williamsburg, Brooklyn",8.5,1086,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant; Rooftop bar,409,164,Even Hotel Brooklyn,3,Downtown Brooklyn,8.2,678,Queen Room (1 queen bed),0,0,Free WiFi; Fitness center,161,169,Henry Norman Hotel,4,"Greenpoint, Brooklyn",8.2,496,Loft Suite (1 king bed),0,0,Free WiFi; Garden,246
31,fiveopt,31,1,6,Hotel Wolcott,2,Midtown,7.5,1560,Standard Double (2 double beds),0,0,Free WiFi; Fitness center,89,69,Hampton Inn Manhattan/Times Square South,3,Times Square,8.4,3082,King Room (1 king bed),1,1,Free WiFi; Breakfast included; Fitness center,288,79,DoubleTree by Hilton New York Times Square West,4,Times Square,7.8,3042,King Room (1 king bed),1,0,Free WiFi; Restaurant; Fitness center,186,115,Hyatt Grand Central New York,4,Midtown East,7.7,3332,Double Room (2 double beds),0,0,Free WiFi; Fitness center; Restaurant,284,166,Z Hotel New York,3,"Long Island City, Queens",7.8,1521,King Room (1 king bed),0,0,Free WiFi; Rooftop bar,184
32,fiveopt,32,1,11,Moxy NYC Lower East Side,3,Lower East Side,8.1,1127,Queen Room (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,245,30,Courtyard by Marriott Manhattan/Central Park,4,Midtown,8.1,2795,Double Room (2 double beds),1,0,Free WiFi; Fitness center; Restaurant,322,57,Sofitel New York,5,Midtown,8.4,2209,Luxury King (1 king bed),1,0,Free WiFi; Restaurant; Spa; Fitness center,367,133,HI New York City Hostel,1,Upper West Side,7.0,3028,Dorm Bed (1 bunk bed),0,0,Free WiFi; Shared kitchen; Lounge,80,174,Moxy NYC Chelsea,3,Chelsea,8.1,1513,King Room (1 king bed),0,0,Free WiFi; Rooftop bar; Restaurant,239
33,fiveopt,33,1,6,Hotel Wolcott,2,Midtown,7.8,1598,Standard Double (2 double beds),0,0,Free WiFi; Fitness center,83,8,YOTEL New York Times Square,3,Times Square,7.3,7508,First Cabin (1 king bed),0,0,Free WiFi; Fitness center; Terrace,117,60,Crosby Street Hotel,5,SoHo,9.2,1207,Luxury King (1 king bed),0,0,Free WiFi; Restaurant; Private theater; Gym; Terrace,1088,77,Hilton Garden Inn New York/Central Park South,3,Midtown,8.5,2153,King Room (1 king bed),0,1,Free WiFi; Restaurant; Fitness center; Business center,299,87,Holiday Inn Express Manhattan Times Square,3,Times Square,7.7,2808,King Room (1 king bed),1,1,Free WiFi; Breakfast included; Fitness center,213
34,fiveopt,34,1,43,Arlo NoMad,4,NoMad,7.9,2724,Queen Room (1 queen bed),0,0,Free WiFi; Rooftop bar; Restaurant,264,99,Fairfield Inn & Suites New York Manhattan/Times Square,3,Times Square,7.7,2283,King Room (1 king bed),1,1,Free WiFi; Breakfast included; Fitness center,300,142,The Mercer,5,SoHo,8.9,669,Mercer King (1 king bed),0,0,Free WiFi; Restaurant; Bar,996,147,"The Pierre, A Taj Hotel",5,Upper East Side,8.7,1410,Superior King (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,814,153,The Renwick Hotel,4,Midtown East,8.1,831,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Bar,241
35,fiveopt,35,1,74,Hampton Inn Manhattan-SoHo,3,SoHo,8.4,1319,King Room (1 king bed),1,1,Free WiFi; Breakfast included; Fitness center,309,91,InterContinental New York Barclay,5,Midtown East,8.9,1634,Premium King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,422,109,W New York - Union Square,4,Union Square,8.4,1614,Spectacular King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,417,131,Freehand New York,3,Flatiron,7.8,1860,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Bar; Rooftop,243,144,1 Hotel Central Park,5,Midtown,8.7,1282,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant; Spa; Fitness center,546
36,fiveopt,36,1,16,Broadway Plaza Hotel,3,Upper West Side,9.4,2060,One-Bedroom Suite (1 king bed),1,0,Free WiFi; Kitchenette,140,42,Virgin Hotels New York City,4,NoMad,8.5,975,Grand Chamber King (1 king bed),1,0,Free WiFi; Restaurant; Rooftop bar; Fitness center,260,80,DoubleTree by Hilton New York Times Square South,4,Times Square,7.7,2789,Double Room (2 double beds),0,0,Free WiFi; Restaurant; Fitness center,241,120,Hyatt Place New York/Chelsea,3,Chelsea,8.1,1149,King Room (1 king bed),0,1,Free WiFi; Breakfast; Fitness center,271,141,The Greenwich Hotel,5,TriBeCa,9.5,515,Deluxe King (1 king bed),1,0,Free WiFi; Restaurant; Spa; Pool; Fitness center,779
37,fiveopt,37,1,42,Virgin Hotels New York City,4,NoMad,8.7,917,Chamber King (1 king bed),1,0,Free WiFi; Restaurant; Rooftop bar; Fitness center,213,128,La Quinta Inn & Suites New York Times Square South,2,Midtown,7.3,1734,Double Room (2 double beds),1,1,Free WiFi; Breakfast,166,135,The Ludlow Hotel,4,Lower East Side,8.6,1011,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant; Bar; Garden,409,142,The Mercer,5,SoHo,9.0,620,Penthouse Loft (1 king bed),0,0,Free WiFi; Restaurant; Bar,938,143,1 Hotel Brooklyn Bridge,4,Brooklyn Heights,8.4,1792,King Room (1 king bed),0,0,Free WiFi; Rooftop pool; Restaurant; Spa,597
