task_id,task_type,group_id,rep,a_hotel_id,a_name,a_stars,a_neighborhood,a_review_score,a_review_count,a_room_type,a_cancellation_free,a_breakfast_included,a_amenities,a_price,b_hotel_id,b_name,b_stars,b_neighborhood,b_review_score,b_review_count,b_room_type,b_cancellation_free,b_breakfast_included,b_amenities,b_price,c_hotel_id,c_name,c_stars,c_neighborhood,c_review_score,c_review_count,c_room_type,c_cancellation_free,c_breakfast_included,c_amenities,c_price
11,binary,3,3,1,Pod 51,2,Midtown East,8.0,5529,Queen Pod (1 queen bed),0,0,Free WiFi; Air conditioning,71,67,Equinox Hotel New York,5,Hudson Yards,8.8,886,King Room (1 king bed),0,0,Free WiFi; Rooftop pool; Spa; Fitness center; Restaurant,805,,,,,,,,,,,
12,binary,3,4,1,Pod 51,2,Midtown East,8.0,5654,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,115,67,Equinox Hotel New York,5,Hudson Yards,8.8,891,Premium King (1 king bed),0,1,Free WiFi; Rooftop pool; Spa; Fitness center; Restaurant,797,,,,,,,,,,,
13,binary,4,1,1,Pod 51,2,Midtown East,7.7,5494,Queen Pod (1 queen bed),0,0,Free WiFi; Air conditioning,112,110,The Westin New York Grand Central,4,Midtown East,8.0,2895,King Room (1 king bed),0,1,Free WiFi; Restaurant; Fitness center; Heavenly Bed,371,,,,,,,,,,,
14,binary,4,2,1,Pod 51,2,Midtown East,7.7,5216,Queen Pod (1 queen bed),1,0,Free WiFi; Air conditioning,79,110,The Westin New York Grand Central,4,Midtown East,8.1,3483,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center; Heavenly Bed,327,,,,,,,,,,,
15,binary,4,3,1,Pod 51,2,Midtown East,8.0,4901,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,99,110,The Westin New York Grand Central,4,Midtown East,8.0,3496,King Room (1 king bed),1,0,Free WiFi; Restaurant; Fitness center; Heavenly Bed,395,,,,,,,,,,,
16,binary,4,4,1,Pod 51,2,Midtown East,7.7,5363,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,121,110,The Westin New York Grand Central,4,Midtown East,7.8,3158,King Room (1 king bed),1,0,Free WiFi; Restaurant; Fitness center; Heavenly Bed,249,,,,,,,,,,,
17,binary,5,1,2,Pod 39,3,Murray Hill,8.0,2699,Queen Pod (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,106,27,citizenM New York Bowery,4,Lower East Side,8.7,3186,citizenM King Room (1 king bed),1,0,Free WiFi; Rain shower; Rooftop bar; Smart TV,241,,,,,,,,,,,
18,binary,5,2,2,Pod 39,3,Murray Hill,8.0,2961,Queen Pod (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,128,27,citizenM New York Bowery,4,Lower East Side,8.7,2811,citizenM King Room (1 king bed),1,0,Free WiFi; Rain shower; Rooftop bar; Smart TV,258,,,,,,,,,,,
19,binary,5,3,2,Pod 39,3,Murray Hill,8.1,2653,Queen Pod (1 queen bed),0,0,Free WiFi; Rooftop bar; Restaurant,113,27,citizenM New York Bowery,4,Lower East Side,8.9,3217,citizenM King Room (1 king bed),1,0,Free WiFi; Rain shower; Rooftop bar; Smart TV,201,,,,,,,,,,,
20,binary,5,4,2,Pod 39,3,Murray Hill,8.0,2658,Queen Pod (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,127,27,citizenM New York Bowery,4,Lower East Side,8.7,3170,citizenM King Room (1 king bed),1,1,Free WiFi; Rain shower; Rooftop bar; Smart TV,210,,,,,,,,,,,
21,binary,6,1,2,Pod 39,3,Murray Hill,7.9,2644,Full Bunk Pod (1 bunk bed),1,0,Free WiFi; Rooftop bar; Restaurant,95,28,citizenM New York Times Square,4,Times Square,8.5,2934,citizenM King Room (1 king bed),0,0,Free WiFi; Soundproof rooms; Rain shower; Smart TV,150,,,,,,,,,,,
22,binary,6,2,2,Pod 39,3,Murray Hill,8.1,2785,Queen Pod (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,141,28,citizenM New York Times Square,4,Times Square,8.8,3182,citizenM King Room (1 king bed),1,0,Free WiFi; Soundproof rooms; Rain shower; Smart TV,327,,,,,,,,,,,
23,binary,6,3,2,Pod 39,3,Murray Hill,7.9,3048,Full Bunk Pod (1 bunk bed),0,0,Free WiFi; Rooftop bar; Restaurant,118,28,citizenM New York Times Square,4,Times Square,8.9,2937,citizenM King Room (1 king bed),0,0,Free WiFi; Soundproof rooms; Rain shower; Smart TV,293,,,,,,,,,,,
24,binary,6,4,2,Pod 39,3,Murray Hill,7.9,3129,Full Bunk Pod (1 bunk bed),0,0,Free WiFi; Rooftop bar; Restaurant,90,28,citizenM New York Times Square,4,Times Square,8.5,3419,citizenM King Room (1 king bed),0,0,Free WiFi; Soundproof rooms; Rain shower; Smart TV,181,,,,,,,,,,,
25,binary,7,1,2,Pod 39,3,Murray Hill,7.9,2687,Full Bunk Pod (1 bunk bed),0,0,Free WiFi; Rooftop bar; Restaurant,107,149,Lotte New York Palace,5,Midtown East,8.4,2158,Deluxe King (1 king bed),0,1,Free WiFi; Fitness center; Restaurant; Bar; Spa,481,,,,,,,,,,,
26,binary,7,2,2,Pod 39,3,Murray Hill,7.9,3090,Full Bunk Pod (1 bunk bed),1,0,Free WiFi; Rooftop bar; Restaurant,105,149,Lotte New York Palace,5,Midtown East,8.5,2081,Palace King (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,415,,,,,,,,,,,
27,binary,7,3,2,Pod 39,3,Murray Hill,7.8,3165,Queen Pod (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,89,149,Lotte New York Palace,5,Midtown East,8.3,2243,Deluxe King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,707,,,,,,,,,,,
28,binary,7,4,2,Pod 39,3,Murray Hill,8.1,3070,Full Bunk Pod (1 bunk bed),0,0,Free WiFi; Rooftop bar; Restaurant,113,149,Lotte New York Palace,5,Midtown East,8.3,2363,Palace King (1 king bed),1,1,Free WiFi; Fitness center; Restaurant; Bar; Spa,583,,,,,,,,,,,
29,binary,8,1,2,Pod 39,3,Murray Hill,7.8,2778,Queen Pod (1 queen bed),0,0,Free WiFi; Rooftop bar; Restaurant,127,173,"The Lexington Hotel, Autograph Collection",4,Midtown East,8.2,2752,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,285,,,,,,,,,,,
30,binary,8,2,2,Pod 39,3,Murray Hill,8.0,3183,Queen Pod (1 queen bed),0,0,Free WiFi; Rooftop bar; Restaurant,97,173,"The Lexington Hotel, Autograph Collection",4,Midtown East,7.9,2921,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,357,,,,,,,,,,,
31,binary,8,3,2,Pod 39,3,Murray Hill,7.9,3002,Full Bunk Pod (1 bunk bed),0,0,Free WiFi; Rooftop bar; Restaurant,133,173,"The Lexington Hotel, Autograph Collection",4,Midtown East,8.3,2929,Double Room (2 double beds),0,0,Free WiFi; Fitness center; Restaurant; Bar,303,,,,,,,,,,,
32,binary,8,4,2,Pod 39,3,Murray Hill,8.1,2707,Full Bunk Pod (1 bunk bed),1,0,Free WiFi; Rooftop bar; Restaurant,104,173,"The Lexington Hotel, Autograph Collection",4,Midtown East,8.1,2844,Double Room (2 double beds),1,0,Free WiFi; Fitness center; Restaurant; Bar,264,,,,,,,,,,,
33,binary,9,1,3,Now Now NoHo,2,NoHo,7.6,807,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,116,21,Courtyard by Marriott Times Square West,3,Midtown West,8.1,2368,King Room (1 king bed),1,0,Free WiFi; Restaurant; Fitness center,173,,,,,,,,,,,
34,binary,9,2,3,Now Now NoHo,2,NoHo,7.5,857,Pod Room (1 single bed),0,0,Free WiFi; Shared lounge,92,21,Courtyard by Marriott Times Square West,3,Midtown West,8.0,2373,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center,192,,,,,,,,,,,
35,binary,9,3,3,Now Now NoHo,2,NoHo,7.5,797,Pod Room (1 single bed),1,0,Free WiFi; Shared lounge,138,21,Courtyard by Marriott Times Square West,3,Midtown West,8.2,2295,Double Room (2 double beds),0,0,Free WiFi; Restaurant; Fitness center,161,,,,,,,,,,,
36,binary,9,4,3,Now Now NoHo,2,NoHo,7.4,757,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,121,21,Courtyard by Marriott Times Square West,3,Midtown West,8.1,2279,Double Room (2 double beds),1,1,Free WiFi; Restaurant; Fitness center,191,,,,,,,,,,,
37,binary,10,1,3,Now Now NoHo,2,NoHo,7.5,814,Pod Room (1 single bed),1,0,Free WiFi; Shared lounge,131,43,Arlo NoMad,4,NoMad,8.0,2574,Queen Room (1 queen bed),0,0,Free WiFi; Rooftop bar; Restaurant,290,,,,,,,,,,,
38,binary,10,2,3,Now Now NoHo,2,NoHo,7.4,743,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,164,43,Arlo NoMad,4,NoMad,7.9,2616,King Room (1 king bed),1,0,Free WiFi; Rooftop bar; Restaurant,182,,,,,,,,,,,
39,binary,10,3,3,Now Now NoHo,2,NoHo,7.6,801,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,103,43,Arlo NoMad,4,NoMad,8.2,2812,King Room (1 king bed),1,0,Free WiFi; Rooftop bar; Restaurant,216,,,,,,,,,,,
40,binary,10,4,3,Now Now NoHo,2,NoHo,7.6,817,Pod Room (1 single bed),0,0,Free WiFi; Shared lounge,165,43,Arlo NoMad,4,NoMad,7.9,2730,Queen Room (1 queen bed),0,0,Free WiFi; Rooftop bar; Restaurant,168,,,,,,,,,,,
41,binary,11,1,3,Now Now NoHo,2,NoHo,7.6,834,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,144,69,Hampton Inn Manhattan/Times Square South,3,Times Square,8.2,3055,King Room (1 king bed),0,0,Free WiFi; Breakfast included; Fitness center,194,,,,,,,,,,,
42,binary,11,2,3,Now Now NoHo,2,NoHo,7.7,868,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,99,69,Hampton Inn Manhattan/Times Square South,3,Times Square,8.2,3398,Double Room (2 double beds),0,1,Free WiFi; Breakfast included; Fitness center,249,,,,,,,,,,,
43,binary,11,3,3,Now Now NoHo,2,NoHo,7.4,812,Pod Room (1 single bed),1,0,Free WiFi; Shared lounge,144,69,Hampton Inn Manhattan/Times Square South,3,Times Square,8.2,3407,Double Room (2 double beds),1,1,Free WiFi; Breakfast included; Fitness center,211,,,,,,,,,,,
44,binary,11,4,3,Now Now NoHo,2,NoHo,7.7,756,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,128,69,Hampton Inn Manhattan/Times Square South,3,Times Square,8.5,3216,Double Room (2 double beds),0,0,Free WiFi; Breakfast included; Fitness center,319,,,,,,,,,,,
45,binary,12,1,3,Now Now NoHo,2,NoHo,7.7,724,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,126,124,"The Beekman, A Thompson Hotel",5,Financial District,8.7,1540,King Room (1 king bed),0,0,Free WiFi; Restaurant; Bar; Fitness center; Historic atrium,520,,,,,,,,,,,
46,binary,12,2,3,Now Now NoHo,2,NoHo,7.5,721,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,143,124,"The Beekman, A Thompson Hotel",5,Financial District,8.6,1334,King Room (1 king bed),1,1,Free WiFi; Restaurant; Bar; Fitness center; Historic atrium,467,,,,,,,,,,,
47,binary,12,3,3,Now Now NoHo,2,NoHo,7.5,847,Pod Room (1 single bed),0,0,Free WiFi; Shared lounge,154,124,"The Beekman, A Thompson Hotel",5,Financial District,9.0,1282,Turret Suite (1 king bed),1,0,Free WiFi; Restaurant; Bar; Fitness center; Historic atrium,466,,,,,,,,,,,
48,binary,12,4,3,Now Now NoHo,2,NoHo,7.6,854,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,127,124,"The Beekman, A Thompson Hotel",5,Financial District,8.9,1367,Turret Suite (1 king bed),0,0,Free WiFi; Restaurant; Bar; Fitness center; Historic atrium,385,,,,,,,,,,,
49,binary,13,1,3,Now Now NoHo,2,NoHo,7.4,760,Pod Room (1 single bed),0,0,Free WiFi; Shared lounge,161,125,Wyndham New Yorker Hotel,3,Midtown,7.4,3845,Queen Room (1 queen bed),0,0,Free WiFi; Fitness center,228,,,,,,,,,,,
50,binary,13,2,3,Now Now NoHo,2,NoHo,7.3,801,Double Pod (1 double bed),1,0,Free WiFi; Shared lounge,168,125,Wyndham New Yorker Hotel,3,Midtown,7.2,4506,Double Room (2 double beds),0,0,Free WiFi; Fitness center,234,,,,,,,,,,,
51,binary,13,3,3,Now Now NoHo,2,NoHo,7.6,849,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,134,125,Wyndham New Yorker Hotel,3,Midtown,7.4,4219,Double Room (2 double beds),0,0,Free WiFi; Fitness center,152,,,,,,,,,,,
52,binary,13,4,3,Now Now NoHo,2,NoHo,7.4,787,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,95,125,Wyndham New Yorker Hotel,3,Midtown,7.3,4461,King Room (1 king bed),0,0,Free WiFi; Fitness center,132,,,,,,,,,,,
53,binary,14,1,3,Now Now NoHo,2,NoHo,7.5,803,Pod Room (1 single bed),0,0,Free WiFi; Shared lounge,115,154,Walker Hotel Greenwich Village,4,Greenwich Village,8.5,727,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant,262,,,,,,,,,,,
54,binary,14,2,3,Now Now NoHo,2,NoHo,7.3,734,Pod Room (1 single bed),0,0,Free WiFi; Shared lounge,122,154,Walker Hotel Greenwich Village,4,Greenwich Village,8.5,755,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant,376,,,,,,,,,,,
55,binary,14,3,3,Now Now NoHo,2,NoHo,7.7,802,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,102,154,Walker Hotel Greenwich Village,4,Greenwich Village,8.4,760,King Room (1 king bed),0,1,Free WiFi; Restaurant,225,,,,,,,,,,,
56,binary,14,4,3,Now Now NoHo,2,NoHo,7.4,810,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,106,154,Walker Hotel Greenwich Village,4,Greenwich Village,8.6,720,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant,392,,,,,,,,,,,
57,binary,15,1,3,Now Now NoHo,2,NoHo,7.4,847,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,165,162,McCarren Hotel & Pool,4,"Williamsburg, Brooklyn",8.0,730,Queen Room (1 queen bed),0,1,Free WiFi; Pool; Restaurant,190,,,,,,,,,,,
58,binary,15,2,3,Now Now NoHo,2,NoHo,7.7,839,Pod Room (1 single bed),0,0,Free WiFi; Shared lounge,143,162,McCarren Hotel & Pool,4,"Williamsburg, Brooklyn",7.9,844,King Room (1 king bed),0,0,Free WiFi; Pool; Restaurant,169,,,,,,,,,,,
59,binary,15,3,3,Now Now NoHo,2,NoHo,7.4,790,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,97,162,McCarren Hotel & Pool,4,"Williamsburg, Brooklyn",8.2,770,Queen Room (1 queen bed),0,0,Free WiFi; Pool; Restaurant,289,,,,,,,,,,,
60,binary,15,4,3,Now Now NoHo,2,NoHo,7.3,743,Double Pod (1 double bed),0,0,Free WiFi; Shared lounge,138,162,McCarren Hotel & Pool,4,"Williamsburg, Brooklyn",8.2,758,Queen Room (1 queen bed),0,0,Free WiFi; Pool; Restaurant,289,,,,,,,,,,,
61,binary,16,1,4,Radio Hotel,2,Washington Heights,7.9,1222,Standard King (1 king bed),1,0,Free WiFi; Restaurant; Bar,77,11,Moxy NYC Lower East Side,3,Lower East Side,8.1,1308,Queen Room (1 queen bed),0,0,Free WiFi; Rooftop bar; Restaurant,208,,,,,,,,,,,
62,binary,16,2,4,Radio Hotel,2,Washington Heights,7.9,1095,Standard Queen (1 queen bed),1,0,Free WiFi; Restaurant; Bar,91,11,Moxy NYC Lower East Side,3,Lower East Side,8.2,1221,King Room (1 king bed),1,0,Free WiFi; Rooftop bar; Restaurant,254,,,,,,,,,,,
63,binary,16,3,4,Radio Hotel,2,Washington Heights,8.2,1294,Standard Queen (1 queen bed),1,0,Free WiFi; Restaurant; Bar,120,11,Moxy NYC Lower East Side,3,Lower East Side,8.0,1224,Queen Room (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,177,,,,,,,,,,,
64,binary,16,4,4,Radio Hotel,2,Washington Heights,8.0,1218,Standard King (1 king bed),0,0,Free WiFi; Restaurant; Bar,99,11,Moxy NYC Lower East Side,3,Lower East Side,8.2,1232,King Room (1 king bed),0,0,Free WiFi; Rooftop bar; Restaurant,247,,,,,,,,,,,
65,binary,17,1,4,Radio Hotel,2,Washington Heights,8.2,1111,Standard King (1 king bed),1,0,Free WiFi; Restaurant; Bar,132,22,Hampton Inn Manhattan Times Square Central,3,Times Square,8.5,3697,Double Room (2 double beds),1,1,Free WiFi; Breakfast included; Fitness center,257,,,,,,,,,,,
66,binary,17,2,4,Radio Hotel,2,Washington Heights,8.1,1204,Standard King (1 king bed),0,0,Free WiFi; Restaurant; Bar,123,22,Hampton Inn Manhattan Times Square Central,3,Times Square,8.5,3470,King Room (1 king bed),0,1,Free WiFi; Breakfast included; Fitness center,162,,,,,,,,,,,
67,binary,17,3,4,Radio Hotel,2,Washington Heights,8.0,1135,Standard King (1 king bed),0,0,Free WiFi; Restaurant; Bar,80,22,Hampton Inn Manhattan Times Square Central,3,Times Square,8.5,3465,King Room (1 king bed),1,1,Free WiFi; Breakfast included; Fitness center,203,,,,,,,,,,,
68,binary,17,4,4,Radio Hotel,2,Washington Heights,8.2,1271,Standard King (1 king bed),1,0,Free WiFi; Restaurant; Bar,90,22,Hampton Inn Manhattan Times Square Central,3,Times Square,8.6,3593,Double Room (2 double beds),0,1,Free WiFi; Breakfast included; Fitness center,279,,,,,,,,,,,
69,binary,18,1,4,Radio Hotel,2,Washington Heights,7.9,1306,Standard King (1 king bed),0,0,Free WiFi; Restaurant; Bar,108,61,The Whitby Hotel,5,Upper Midtown,9.5,834,Deluxe King (1 king bed),0,0,Free WiFi; Restaurant; Screening room; Gym,772,,,,,,,,,,,
70,binary,18,2,4,Radio Hotel,2,Washington Heights,8.1,1128,Standard Queen (1 queen bed),0,0,Free WiFi; Restaurant; Bar,114,61,The Whitby Hotel,5,Upper Midtown,9.4,876,Deluxe King (1 king bed),0,0,Free WiFi; Restaurant; Screening room; Gym,966,,,,,,,,,,,
71,binary,18,3,4,Radio Hotel,2,Washington Heights,8.1,1244,Standard Queen (1 queen bed),0,0,Free WiFi; Restaurant; Bar,118,61,The Whitby Hotel,5,Upper Midtown,9.3,865,Deluxe King (1 king bed),1,0,Free WiFi; Restaurant; Screening room; Gym,679,,,,,,,,,,,
72,binary,18,4,4,Radio Hotel,2,Washington Heights,8.0,1252,Standard King (1 king bed),1,0,Free WiFi; Restaurant; Bar,114,61,The Whitby Hotel,5,Upper Midtown,9.2,926,Deluxe King (1 king bed),0,0,Free WiFi; Restaurant; Screening room; Gym,873,,,,,,,,,,,
73,binary,19,1,4,Radio Hotel,2,Washington Heights,7.9,1131,Standard King (1 king bed),0,0,Free WiFi; Restaurant; Bar,87,66,The Plaza,5,Midtown,8.4,3769,Deluxe King (1 king bed),1,0,Free WiFi; Spa; Restaurant; Fitness center; Palm Court,808,,,,,,,,,,,
74,binary,19,2,4,Radio Hotel,2,Washington Heights,8.1,1101,Standard Queen (1 queen bed),1,0,Free WiFi; Restaurant; Bar,107,66,The Plaza,5,Midtown,8.4,3994,Superior King (1 king bed),0,0,Free WiFi; Spa; Restaurant; Fitness center; Palm Court,1236,,,,,,,,,,,
75,binary,19,3,4,Radio Hotel,2,Washington Heights,8.3,1254,Standard Queen (1 queen bed),1,0,Free WiFi; Restaurant; Bar,130,66,The Plaza,5,Midtown,8.5,3669,Superior King (1 king bed),1,0,Free WiFi; Spa; Restaurant; Fitness center; Palm Court,1335,,,,,,,,,,,
76,binary,19,4,4,Radio Hotel,2,Washington Heights,8.1,1164,Standard King (1 king bed),0,0,Free WiFi; Restaurant; Bar,111,66,The Plaza,5,Midtown,8.6,4107,Superior King (1 king bed),1,0,Free WiFi; Spa; Restaurant; Fitness center; Palm Court,1188,,,,,,,,,,,
77,binary,20,1,4,Radio Hotel,2,Washington Heights,8.0,1272,Standard King (1 king bed),0,0,Free WiFi; Restaurant; Bar,75,90,InterContinental New York Times Square,5,Times Square,8.5,2689,King Room (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,486,,,,,,,,,,,
78,binary,20,2,4,Radio Hotel,2,Washington Heights,8.0,1227,Standard King (1 king bed),0,0,Free WiFi; Restaurant; Bar,83,90,InterContinental New York Times Square,5,Times Square,8.4,2970,Premium King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,414,,,,,,,,,,,
79,binary,20,3,4,Radio Hotel,2,Washington Heights,8.2,1117,Standard Queen (1 queen bed),0,0,Free WiFi; Restaurant; Bar,86,90,InterContinental New York Times Square,5,Times Square,8.2,2923,Premium King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,308,,,,,,,,,,,
80,binary,20,4,4,Radio Hotel,2,Washington Heights,8.1,1208,Standard Queen (1 queen bed),1,0,Free WiFi; Restaurant; Bar,96,90,InterContinental New York Times Square,5,Times Square,8.6,2745,Premium King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,391,,,,,,,,,,,
81,binary,21,1,4,Radio Hotel,2,Washington Heights,8.0,1130,Standard King (1 king bed),1,0,Free WiFi; Restaurant; Bar,82,146,Mandarin Oriental New York,5,Upper West Side,9.0,954,Hudson River View King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa; Pool,915,,,,,,,,,,,
82,binary,21,2,4,Radio Hotel,2,Washington Heights,8.2,1274,Standard King (1 king bed),1,0,Free WiFi; Restaurant; Bar,113,146,Mandarin Oriental New York,5,Upper West Side,8.8,1086,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa; Pool,1356,,,,,,,,,,,
83,binary,21,3,4,Radio Hotel,2,Washington Heights,8.3,1191,Standard King (1 king bed),0,0,Free WiFi; Restaurant; Bar,71,146,Mandarin Oriental New York,5,Upper West Side,9.1,911,Hudson River View King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa; Pool,1336,,,,,,,,,,,
84,binary,21,4,4,Radio Hotel,2,Washington Heights,8.0,1165,Standard Queen (1 queen bed),0,0,Free WiFi; Restaurant; Bar,117,146,Mandarin Oriental New York,5,Upper West Side,8.9,1067,Hudson River View King (1 king bed),0,1,Free WiFi; Fitness center; Restaurant; Bar; Spa; Pool,1060,,,,,,,,,,,
85,binary,22,1,4,Radio Hotel,2,Washington Heights,8.2,1281,Standard King (1 king bed),0,0,Free WiFi; Restaurant; Bar,99,166,Z Hotel New York,3,"Long Island City, Queens",7.9,1264,King Room (1 king bed),1,1,Free WiFi; Rooftop bar,175,,,,,,,,,,,
86,binary,22,2,4,Radio Hotel,2,Washington Heights,8.0,1106,Standard King (1 king bed),1,0,Free WiFi; Restaurant; Bar,125,166,Z Hotel New York,3,"Long Island City, Queens",7.8,1533,King Room (1 king bed),1,0,Free WiFi; Rooftop bar,190,,,,,,,,,,,
87,binary,22,3,4,Radio Hotel,2,Washington Heights,7.9,1224,Standard Queen (1 queen bed),0,0,Free WiFi; Restaurant; Bar,108,166,Z Hotel New York,3,"Long Island City, Queens",8.0,1524,King Room (1 king bed),1,0,Free WiFi; Rooftop bar,165,,,,,,,,,,,
88,binary,22,4,4,Radio Hotel,2,Washington Heights,8.0,1155,Standard Queen (1 queen bed),1,0,Free WiFi; Restaurant; Bar,88,166,Z Hotel New York,3,"Long Island City, Queens",7.7,1411,Queen Room (1 queen bed),1,0,Free WiFi; Rooftop bar,133,,,,,,,,,,,
89,binary,23,1,5,Carlton Arms Hotel,2,Gramercy,7.3,977,Standard Room (1 twin bed),0,0,Free WiFi,87,49,The Hotel Chelsea,4,Chelsea,8.5,1291,King Room (1 king bed),1,0,Free WiFi; Restaurant; Concierge; Fitness center,393,,,,,,,,,,,
